Number of words,1917163
Number of unique words,15608
Average word frequency,122.832073
Entropy,6.701858

Word,Frequency,Proportion,Entropy Term
nothing,562,0.000293,0.002385
do,4332,0.002260,0.013767
ridiculous,88,0.000046,0.000459
only,2477,0.001292,0.008594
thing,2140,0.001116,0.007588
has,8202,0.004278,0.023334
ever,1075,0.000561,0.004198
blown,16,0.000008,0.000098
first,3154,0.001645,0.010545
time,2958,0.001543,0.009989
history,383,0.000200,0.001702
presidential,1586,0.000827,0.005871
candidate,770,0.000402,0.003141
major,289,0.000151,0.001327
political,583,0.000304,0.002463
party,838,0.000437,0.003381
allowed,224,0.000117,0.001058
image,84,0.000044,0.000440
used,724,0.000378,0.002976
commercial,123,0.000064,0.000619
purposes,15,0.000008,0.000092
doing,1056,0.000551,0.004133
an,5854,0.003053,0.017684
ad,194,0.000101,0.000931
outdone,66,0.000034,0.000354
today,8565,0.004468,0.024173
also,1565,0.000816,0.005805
did,3818,0.001991,0.012385
airline,84,0.000044,0.000440
we,5498,0.002868,0.016789
show,2082,0.001086,0.007412
says,3040,0.001586,0.010222
want,2235,0.001166,0.007874
something,1649,0.000860,0.006071
fun,306,0.000160,0.001395
join,111,0.000058,0.000565
played,170,0.000089,0.000827
greg,8,0.000004,0.000052
norman,11,0.000006,0.000069
worked,216,0.000113,0.001024
out,7250,0.003782,0.021092
perfectly,27,0.000014,0.000157
golfer,9,0.000005,0.000058
so,6517,0.003399,0.019322
showed,335,0.000175,0.001512
how,4386,0.002288,0.013910
improve,80,0.000042,0.000421
swing,42,0.000022,0.000235
course,1824,0.000951,0.006619
politician,142,0.000074,0.000704
cheat,54,0.000028,0.000295
score,41,0.000021,0.000230
earlier,1075,0.000561,0.004198
space,293,0.000153,0.001343
shuttle,82,0.000043,0.000430
columbia,40,0.000021,0.000225
lifted,25,0.000013,0.000147
board,91,0.000047,0.000473
probably,500,0.000261,0.002152
story,1567,0.000817,0.005811
worlds,107,0.000056,0.000547
oldest,43,0.000022,0.000240
astronaut,67,0.000035,0.000359
unbelievable,344,0.000179,0.001548
shortly,11,0.000006,0.000069
after,2767,0.001443,0.009440
liftoff,3,0.000002,0.000021
claim,139,0.000073,0.000691
they,14430,0.007527,0.036800
miles,140,0.000073,0.000696
hour,301,0.000157,0.001375
family,570,0.000297,0.002414
last,3669,0.001914,0.011978
according,1490,0.000777,0.005565
reports,274,0.000143,0.001265
while,1230,0.000642,0.004717
under,719,0.000375,0.002958
rapidly,3,0.000002,0.000021
developed,53,0.000028,0.000290
powerful,108,0.000056,0.000551
taste,27,0.000014,0.000157
local,130,0.000068,0.000651
right,2872,0.001498,0.009743
kentucky,85,0.000044,0.000444
fried,40,0.000021,0.000225
sharon,48,0.000025,0.000265
stone,99,0.000052,0.000510
giving,440,0.000230,0.001923
interview,852,0.000444,0.003430
shes,1383,0.000721,0.005219
if,5573,0.002907,0.016978
married,404,0.000211,0.001784
she,5789,0.003020,0.017521
would,3309,0.001726,0.010981
rice,128,0.000067,0.000642
quite,257,0.000134,0.001195
turn,294,0.000153,0.001347
phrase,96,0.000050,0.000496
eh,14,0.000007,0.000086
regular,122,0.000064,0.000615
aint,43,0.000022,0.000240
hears,24,0.000013,0.000141
say,3343,0.001744,0.011076
single,155,0.000081,0.000762
two,2301,0.001200,0.008072
things,1100,0.000574,0.004282
were,4355,0.002272,0.013828
mind,212,0.000111,0.001007
at,8231,0.004293,0.023402
point,428,0.000223,0.001877
mmmm,3,0.000002,0.000021
number,633,0.000330,0.002647
economic,304,0.000159,0.001387
summit,230,0.000120,0.001083
philippines,16,0.000008,0.000098
picture,241,0.000126,0.001129
leaders,323,0.000168,0.001464
wearing,338,0.000176,0.001524
shirt,57,0.000030,0.000310
one,5299,0.002764,0.016283
guess,1734,0.000904,0.006339
part,874,0.000456,0.003507
tradition,41,0.000021,0.000230
prostitutes,75,0.000039,0.000397
germany,107,0.000056,0.000547
launched,81,0.000042,0.000426
achieve,12,0.000006,0.000075
official,295,0.000154,0.001351
recognition,9,0.000005,0.000058
government,1210,0.000631,0.004650
heres,1464,0.000764,0.005481
area,115,0.000060,0.000583
united,994,0.000518,0.003922
states,1042,0.000544,0.004086
way,1641,0.000856,0.006046
ahead,212,0.000111,0.001007
europe,118,0.000062,0.000597
almost,395,0.000206,0.001749
