Number of words,1917163
Number of unique words,15608
Average word frequency,122.832073
Entropy,6.701858

Word,Frequency,Proportion,Entropy Term
communities,10,0.000005,0.000063
fraction,5,0.000003,0.000034
eliminate,28,0.000015,0.000163
bases,20,0.000010,0.000120
crowded,18,0.000009,0.000109
soldiers,87,0.000045,0.000454
bunk,4,0.000002,0.000027
nations,198,0.000103,0.000948
pilot,92,0.000048,0.000477
honorable,4,0.000002,0.000027
discharge,5,0.000003,0.000034
martial,5,0.000003,0.000034
adultery,74,0.000039,0.000392
favored,20,0.000010,0.000120
status,36,0.000019,0.000204
human,195,0.000102,0.000935
rights,152,0.000079,0.000749
abuses,7,0.000004,0.000046
customs,13,0.000007,0.000081
morals,9,0.000005,0.000058
eventually,33,0.000017,0.000189
adopted,21,0.000011,0.000125
mia,6,0.000003,0.000040
comment,161,0.000084,0.000788
market,202,0.000105,0.000965
setting,51,0.000027,0.000280
fourth,153,0.000080,0.000753
graders,18,0.000009,0.000109
butt,16,0.000008,0.000098
drove,68,0.000035,0.000363
millie,6,0.000003,0.000040
vet,4,0.000002,0.000027
die,87,0.000045,0.000454
pass,163,0.000085,0.000797
background,66,0.000034,0.000354
rule,103,0.000054,0.000528
reduce,50,0.000026,0.000275
size,66,0.000034,0.000354
armed,53,0.000028,0.000290
closing,91,0.000047,0.000473
base,61,0.000032,0.000329
offenders,9,0.000005,0.000058
debate,1126,0.000587,0.004370
type,34,0.000018,0.000194
largely,6,0.000003,0.000040
minority,57,0.000030,0.000310
daschle,28,0.000015,0.000163
sen,120,0.000063,0.000606
liberal,63,0.000033,0.000339
un,253,0.000132,0.001179
petty,11,0.000006,0.000069
demands,26,0.000014,0.000152
trim,9,0.000005,0.000058
cafeteria,13,0.000007,0.000081
rush,303,0.000158,0.001383
bold,13,0.000007,0.000081
heroin,43,0.000022,0.000240
fashion,44,0.000023,0.000245
scolding,4,0.000002,0.000027
separate,43,0.000022,0.000240
linda,195,0.000102,0.000935
bangs,9,0.000005,0.000058
grow,63,0.000033,0.000339
fathered,15,0.000008,0.000092
illegitimate,8,0.000004,0.000052
owes,34,0.000018,0.000194
competitive,16,0.000008,0.000098
extramarital,36,0.000019,0.000204
expect,75,0.000039,0.000397
living,319,0.000166,0.001448
bushs,760,0.000396,0.003105
brother,214,0.000112,0.001016
wedlock,7,0.000004,0.000046
balanced,18,0.000009,0.000109
budget,195,0.000102,0.000935
agreement,73,0.000038,0.000387
consumed,3,0.000002,0.000021
horny,16,0.000008,0.000098
kelly,52,0.000027,0.000285
successful,100,0.000052,0.000514
motto,24,0.000013,0.000141
bully,11,0.000006,0.000069
pulpit,6,0.000003,0.000040
networks,56,0.000029,0.000305
antidrug,4,0.000002,0.000027
alcohol,92,0.000048,0.000477
abuse,17,0.000009,0.000103
deadend,3,0.000002,0.000021
nash,5,0.000003,0.000034
bridges,29,0.000015,0.000168
starring,19,0.000010,0.000114
cheech,5,0.000003,0.000034
don,78,0.000041,0.000411
published,286,0.000149,0.001314
frequently,19,0.000010,0.000114
unfaithful,6,0.000003,0.000040
mates,17,0.000009,0.000103
tribe,14,0.000007,0.000086
clan,5,0.000003,0.000034
film,153,0.000080,0.000753
becomes,69,0.000036,0.000368
longestserving,5,0.000003,0.000034
session,53,0.000028,0.000290
waking,12,0.000006,0.000075
settlement,29,0.000015,0.000168
glad,88,0.000046,0.000459
committing,10,0.000005,0.000063
sector,19,0.000010,0.000114
nuclear,308,0.000161,0.001404
thurman,3,0.000002,0.000021
prematurely,6,0.000003,0.000040
orange,104,0.000054,0.000533
jurassic,4,0.000002,0.000027
scene,57,0.000030,0.000310
loose,28,0.000015,0.000163
helping,102,0.000053,0.000524
cameo,12,0.000006,0.000075
appearance,113,0.000059,0.000574
fifth,80,0.000042,0.000421
anniversary,247,0.000129,0.001154
joke,150,0.000078,0.000740
lusting,4,0.000002,0.000027
cindy,30,0.000016,0.000173
crawford,49,0.000026,0.000270
salacious,3,0.000002,0.000021
remark,13,0.000007,0.000081
pains,15,0.000008,0.000092
absolute,8,0.000004,0.000052
constitutional,41,0.000021,0.000230
founding,21,0.000011,0.000125
foreseen,3,0.000002,0.000021
constitution,96,0.000050,0.000496
zipper,18,0.000009,0.000109
characteristics,4,0.000002,0.000027
genitals,9,0.000005,0.000058
quitting,27,0.000014,0.000157
anchor,50,0.000026,0.000275
greeting,17,0.000009,0.000103
havent,269,0.000140,0.001245
stand,181,0.000094,0.000875
sue,40,0.000021,0.000225
barely,57,0.000030,0.000310
makeup,67,0.000035,0.000359
ruling,55,0.000029,0.000300
marv,7,0.000004,0.000046
albert,10,0.000005,0.000063
gifford,24,0.000013,0.000141
refuse,22,0.000011,0.000131
doublewide,3,0.000002,0.000021
lawsuits,21,0.000011,0.000125
selfrighteous,7,0.000004,0.000046
sides,63,0.000033,0.000339
courageous,8,0.000004,0.000052
awarded,36,0.000019,0.000204
purple,33,0.000017,0.000189
hickey,4,0.000002,0.000027
contrary,8,0.000004,0.000052
belief,12,0.000006,0.000075
ready,339,0.000177,0.001528
witnesses,17,0.000009,0.000103
scratched,5,0.000003,0.000034
attorneys,37,0.000019,0.000210
tampering,6,0.000003,0.000040
carolinas,3,0.000002,0.000021
serving,59,0.000031,0.000320
columbus,55,0.000029,0.000300
amendment,56,0.000029,0.000305
older,93,0.000049,0.000482
flint,6,0.000003,0.000040
michigan,96,0.000050,0.000496
suspended,68,0.000035,0.000363
classmate,5,0.000003,0.000034
grabbed,47,0.000025,0.000260
rear,19,0.000010,0.000114
stories,99,0.000052,0.000510
tag,22,0.000011,0.000131
ftc,3,0.000002,0.000021
rj,3,0.000002,0.000021
camel,28,0.000015,0.000163
target,38,0.000020,0.000215
duh,56,0.000029,0.000305
camels,6,0.000003,0.000040
beanie,5,0.000003,0.000034
holland,9,0.000005,0.000058
children,192,0.000100,0.000922
theme,115,0.000060,0.000583
song,95,0.000050,0.000491
chuck,63,0.000033,0.000339
commemorating,3,0.000002,0.000021
marshall,4,0.000002,0.000027
rebuilt,6,0.000003,0.000040
kohl,3,0.000002,0.000021
chancellor,20,0.000010,0.000120
crying,56,0.000029,0.000305
whispered,14,0.000007,0.000086
ear,24,0.000013,0.000141
wwii,3,0.000002,0.000021
germans,27,0.000014,0.000157
acted,23,0.000012,0.000136
consumer,20,0.000010,0.000120
confidence,45,0.000023,0.000250
afraid,122,0.000064,0.000615
hired,159,0.000083,0.000779
dumb,96,0.000050,0.000496
invite,38,0.000020,0.000215
knocking,12,0.000006,0.000075
ironic,130,0.000068,0.000651
sued,48,0.000025,0.000265
expose,9,0.000005,0.000058
examination,4,0.000002,0.000027
unlike,51,0.000027,0.000280
fingerprints,4,0.000002,0.000027
cigarette,24,0.000013,0.000141
ads,112,0.000058,0.000569
algebra,3,0.000002,0.000021
gathering,30,0.000016,0.000173
f,67,0.000035,0.000359
teeth,39,0.000020,0.000220
breed,4,0.000002,0.000027
exclusive,31,0.000016,0.000178
blairs,4,0.000002,0.000027
blair,60,0.000031,0.000325
friendly,42,0.000022,0.000235
argument,54,0.000028,0.000295
waitress,26,0.000014,0.000152
coup,8,0.000004,0.000052
sierra,5,0.000003,0.000034
evacuating,6,0.000003,0.000040
pilots,95,0.000050,0.000491
returning,29,0.000015,0.000168
remaining,43,0.000022,0.000240
scorcher,3,0.000002,0.000021
sweating,111,0.000058,0.000565
london,81,0.000042,0.000426
iran,372,0.000194,0.001659
moderate,25,0.000013,0.000147
iranian,156,0.000081,0.000766
stealing,84,0.000044,0.000440
bread,31,0.000016,0.000178
foot,89,0.000046,0.000463
soldier,33,0.000017,0.000189
stationed,6,0.000003,0.000040
bosnia,24,0.000013,0.000141
pregnant,70,0.000037,0.000373
troops,302,0.000158,0.001379
filed,80,0.000042,0.000421
discrimination,9,0.000005,0.000058
disqualified,11,0.000006,0.000069
applicant,3,0.000002,0.000021
scoring,7,0.000004,0.000046
officers,20,0.000010,0.000120
short,121,0.000063,0.000610
cops,44,0.000023,0.000245
kangaroo,8,0.000004,0.000052
uniform,20,0.000010,0.000120
currently,97,0.000051,0.000500
clintonis,6,0.000003,0.000040
inviting,18,0.000009,0.000109
frightening,53,0.000028,0.000290
anatomy,8,0.000004,0.000052
affected,36,0.000019,0.000204
conducted,26,0.000014,0.000152
leftwing,5,0.000003,0.000034
socialists,3,0.000002,0.000021
assembly,47,0.000025,0.000260
conservative,175,0.000091,0.000849
expenses,9,0.000005,0.000058
compared,83,0.000043,0.000435
body,178,0.000093,0.000862
hardly,35,0.000018,0.000199
auditions,3,0.000002,0.000021
hee,3,0.000002,0.000021
donate,31,0.000016,0.000178
foundation,23,0.000012,0.000136
organization,50,0.000026,0.000275
helps,26,0.000014,0.000152
n,29,0.000015,0.000168
discussed,31,0.000016,0.000178
music,131,0.000068,0.000655
groups,97,0.000051,0.000500
talked,172,0.000090,0.000836
elvis,32,0.000017,0.000184
loved,69,0.000036,0.000368
sang,35,0.000018,0.000199
hound,5,0.000003,0.000034
senior,128,0.000067,0.000642
prom,22,0.000011,0.000131
outsider,11,0.000006,0.000069
reveal,41,0.000021,0.000230
confident,74,0.000039,0.000392
flying,141,0.000074,0.000700
somewhere,96,0.000050,0.000496
atlantic,14,0.000007,0.000086
attendant,43,0.000022,0.000240
equipped,6,0.000003,0.000040
warning,115,0.000060,0.000583
alarm,31,0.000016,0.000178
thousand,36,0.000019,0.000204
similar,55,0.000029,0.000300
device,39,0.000020,0.000220
collided,8,0.000004,0.000052
cargo,15,0.000008,0.000092
swerve,9,0.000005,0.000058
nobodys,48,0.000025,0.000265
related,193,0.000101,0.000927
toys,54,0.000028,0.000295
collection,44,0.000023,0.000245
tucker,5,0.000003,0.000034
recommending,9,0.000005,0.000058
experiments,6,0.000003,0.000040
such,221,0.000115,0.001045
quick,78,0.000041,0.000411
flipflop,5,0.000003,0.000034
directions,14,0.000007,0.000086
figured,67,0.000035,0.000359
wednesday,108,0.000056,0.000551
joseph,30,0.000016,0.000173
ralston,5,0.000003,0.000034
consideration,9,0.000005,0.000058
chairman,149,0.000078,0.000735
employee,33,0.000017,0.000189
hide,56,0.000029,0.000305
affiliates,3,0.000002,0.000021
marriage,418,0.000218,0.001838
solid,16,0.000008,0.000098
golfing,6,0.000003,0.000040
tesh,6,0.000003,0.000040
couples,46,0.000024,0.000255
immediately,156,0.000081,0.000766
presley,4,0.000002,0.000027
grew,36,0.000019,0.000204
owed,6,0.000003,0.000040
colonel,21,0.000011,0.000125
secretly,61,0.000032,0.000329
sullivan,18,0.000009,0.000109
jumpsuit,4,0.000002,0.000027
community,75,0.000039,0.000397
ends,43,0.000022,0.000240
husband,294,0.000153,0.001347
heart,431,0.000225,0.001888
doubts,4,0.000002,0.000027
harassed,16,0.000008,0.000098
affairs,74,0.000039,0.000392
wed,67,0.000035,0.000359
pizza,121,0.000063,0.000610
pie,19,0.000010,0.000114
religious,86,0.000045,0.000449
misconduct,13,0.000007,0.000081
prosecute,8,0.000004,0.000052
amazed,20,0.000010,0.000120
clearly,37,0.000019,0.000210
resolved,6,0.000003,0.000040
qualify,8,0.000004,0.000052
teresa,42,0.000022,0.000235
hallway,6,0.000003,0.000040
commanderinchief,14,0.000007,0.000086
allegations,56,0.000029,0.000305
cowboy,25,0.000013,0.000147
construction,33,0.000017,0.000189
camouflage,6,0.000003,0.000040
uniforms,25,0.000013,0.000147
blend,8,0.000004,0.000052
thousands,183,0.000095,0.000884
convention,574,0.000299,0.002429
stood,59,0.000031,0.000320
familys,11,0.000006,0.000069
teddy,21,0.000011,0.000125
versus,89,0.000046,0.000463
contention,3,0.000002,0.000021
heroes,9,0.000005,0.000058
tina,23,0.000012,0.000136
buddhist,12,0.000006,0.000075
temple,17,0.000009,0.000103
contribute,8,0.000004,0.000052
vow,14,0.000007,0.000086
impassioned,8,0.000004,0.000052
wrongdoing,6,0.000003,0.000040
advance,35,0.000018,0.000199
upcoming,95,0.000050,0.000491
controversies,3,0.000002,0.000021
cited,18,0.000009,0.000109
process,79,0.000041,0.000416
appropriate,19,0.000010,0.000114
psycho,5,0.000003,0.000034
hinckley,17,0.000009,0.000103
idiot,85,0.000044,0.000444
virginia,334,0.000174,0.001508
freedom,79,0.000041,0.000416
unsupervised,8,0.000004,0.000052
suspect,31,0.000016,0.000178
responsible,74,0.000039,0.000392
bombings,9,0.000005,0.000058
judging,16,0.000008,0.000098
contents,3,0.000002,0.000021
hates,52,0.000027,0.000285
liberals,18,0.000009,0.000109
segment,28,0.000015,0.000163
collect,32,0.000017,0.000184
paternity,10,0.000005,0.000063
majority,119,0.000062,0.000601
disqualify,5,0.000003,0.000034
leadership,31,0.000016,0.000178
s,22,0.000011,0.000131
carolyn,4,0.000002,0.000027
pregnancy,12,0.000006,0.000075
jrs,5,0.000003,0.000034
burning,71,0.000037,0.000378
flag,95,0.000050,0.000491
sacred,9,0.000005,0.000058
burn,46,0.000024,0.000255
race,568,0.000296,0.002407
appointed,56,0.000029,0.000305
ribbon,9,0.000005,0.000058
panels,14,0.000007,0.000086
hispanic,68,0.000035,0.000363
tension,36,0.000019,0.000204
panel,47,0.000025,0.000260
insisted,37,0.000019,0.000210
positive,57,0.000030,0.000310
happily,7,0.000004,0.000046
divorced,26,0.000014,0.000152
converting,3,0.000002,0.000021
detector,52,0.000027,0.000285
compound,56,0.000029,0.000305
certainly,52,0.000027,0.000285
often,92,0.000048,0.000477
slavery,19,0.000010,0.000114
apologizing,46,0.000024,0.000255
slowly,30,0.000016,0.000173
trent,86,0.000045,0.000449
lott,84,0.000044,0.000440
meaningless,6,0.000003,0.000040
gestures,3,0.000002,0.000021
amendments,3,0.000002,0.000021
legislation,43,0.000022,0.000240
expelled,9,0.000005,0.000058
especially,178,0.000093,0.000862
scared,51,0.000027,0.000280
connection,12,0.000006,0.000075
international,154,0.000080,0.000757
airport,323,0.000168,0.001464
winding,12,0.000006,0.000075
mountain,36,0.000019,0.000204
road,98,0.000051,0.000505
rich,231,0.000120,0.001087
museum,51,0.000027,0.000280
toronto,26,0.000014,0.000152
displays,7,0.000004,0.000046
contraceptive,3,0.000002,0.000021
devices,23,0.000012,0.000136
opportunity,43,0.000022,0.000240
proposition,22,0.000011,0.000131
offend,11,0.000006,0.000069
slave,9,0.000005,0.000058
trend,38,0.000020,0.000215
anytime,16,0.000008,0.000098
add,46,0.000024,0.000255
onto,36,0.000019,0.000204
whitewatergate,3,0.000002,0.000021
headquarters,56,0.000029,0.000305
ideas,52,0.000027,0.000285
celebrating,86,0.000045,0.000449
everyones,91,0.000047,0.000473
jumping,52,0.000027,0.000285
joy,13,0.000007,0.000081
usual,55,0.000029,0.000300
quiet,68,0.000035,0.000363
evening,92,0.000048,0.000477
cutting,68,0.000035,0.000363
disaster,94,0.000049,0.000487
flood,8,0.000004,0.000052
newts,17,0.000009,0.000103
blow,104,0.000054,0.000533
candles,36,0.000019,0.000204
sometimes,77,0.000040,0.000407
blowing,52,0.000027,0.000285
fire,303,0.000158,0.001383
flames,8,0.000004,0.000052
minorities,36,0.000019,0.000204
jewish,169,0.000088,0.000823
africanamericans,24,0.000013,0.000141
mixes,3,0.000002,0.000021
fundraisers,28,0.000015,0.000163
praised,34,0.000018,0.000194
breaking,82,0.000043,0.000430
color,68,0.000035,0.000363
barrier,5,0.000003,0.000034
partys,30,0.000016,0.000173
russell,15,0.000008,0.000092
insanity,7,0.000004,0.000046
plea,23,0.000012,0.000136
pleads,5,0.000003,0.000034
plead,15,0.000008,0.000092
insane,29,0.000015,0.000168
knight,11,0.000006,0.000069
uniting,3,0.000002,0.000021
reunite,5,0.000003,0.000034
lawrence,17,0.000009,0.000103
villa,3,0.000002,0.000021
impersonating,12,0.000006,0.000075
capitol,140,0.000073,0.000696
hill,57,0.000030,0.000310
unhappy,29,0.000015,0.000168
debts,4,0.000002,0.000027
losing,179,0.000093,0.000866
usually,151,0.000079,0.000744
overboard,7,0.000004,0.000046
insurance,102,0.000053,0.000524
handle,75,0.000039,0.000397
farm,30,0.000016,0.000173
copy,105,0.000055,0.000537
bimbo,7,0.000004,0.000046
attending,51,0.000027,0.000280
tales,3,0.000002,0.000021
yelled,79,0.000041,0.000416
notes,34,0.000018,0.000194
conversations,29,0.000015,0.000168
billing,9,0.000005,0.000058
margins,3,0.000002,0.000021
nasa,167,0.000087,0.000814
glenn,76,0.000040,0.000402
broken,79,0.000041,0.000416
ae,6,0.000003,0.000040
biography,22,0.000011,0.000131
carved,6,0.000003,0.000040
established,10,0.000005,0.000063
documented,3,0.000002,0.000021
dull,54,0.000028,0.000295
flew,139,0.000073,0.000691
blank,18,0.000009,0.000109
documentary,66,0.000034,0.000354
denver,47,0.000025,0.000260
agreed,197,0.000103,0.000944
truth,159,0.000083,0.000779
owners,55,0.000029,0.000300
dogs,105,0.000055,0.000537
begging,16,0.000008,0.000098
shake,38,0.000020,0.000215
happens,194,0.000101,0.000931
outside,191,0.000100,0.000918
startled,8,0.000004,0.000052
noise,12,0.000006,0.000075
acting,84,0.000044,0.000440
irrational,4,0.000002,0.000027
alien,38,0.000020,0.000215
landing,35,0.000018,0.000199
dummies,9,0.000005,0.000058
explanation,32,0.000017,0.000184
station,138,0.000072,0.000687
mir,17,0.000009,0.000103
ship,51,0.000027,0.000280
doings,5,0.000003,0.000034
punish,14,0.000007,0.000086
predators,4,0.000002,0.000027
investigators,42,0.000022,0.000235
pinhead,7,0.000004,0.000046
troopers,12,0.000006,0.000075
sell,175,0.000091,0.000849
orbit,9,0.000005,0.000058
discussions,7,0.000004,0.000046
outer,25,0.000013,0.000147
famed,15,0.000008,0.000092
underwater,18,0.000009,0.000109
explorer,13,0.000007,0.000081
jacques,13,0.000007,0.000081
tragic,5,0.000003,0.000034
submarine,8,0.000004,0.000052
matching,13,0.000007,0.000081
description,5,0.000003,0.000034
print,24,0.000013,0.000141
couldve,11,0.000006,0.000069
pornography,71,0.000037,0.000378
internet,226,0.000118,0.001066
highfiving,6,0.000003,0.000040
tshirt,42,0.000022,0.000235
chill,14,0.000007,0.000086
benefits,39,0.000020,0.000220
continue,120,0.000063,0.000606
starts,109,0.000057,0.000556
breathing,25,0.000013,0.000147
heavily,17,0.000009,0.000103
alarmed,7,0.000004,0.000046
obscene,17,0.000009,0.000103
flimsy,3,0.000002,0.000021
purpose,25,0.000013,0.000147
warrant,15,0.000008,0.000092
struck,36,0.000019,0.000204
banned,75,0.000039,0.000397
value,24,0.000013,0.000141
serve,97,0.000051,0.000500
environment,70,0.000037,0.000373
gallons,31,0.000016,0.000178
fuel,59,0.000031,0.000320
wow,152,0.000079,0.000749
involve,19,0.000010,0.000114
revelations,16,0.000008,0.000098
virginity,6,0.000003,0.000040
drive,359,0.000187,0.001607
patriotic,19,0.000010,0.000114
inflatable,3,0.000002,0.000021
betsy,20,0.000010,0.000120
founder,29,0.000015,0.000168
owns,50,0.000026,0.000275
boxers,6,0.000003,0.000040
jfk,37,0.000019,0.000210
coined,3,0.000002,0.000021
pace,19,0.000010,0.000114
boxer,15,0.000008,0.000092
felt,165,0.000086,0.000806
television,286,0.000149,0.001314
wisconsin,108,0.000056,0.000551
probation,6,0.000003,0.000040
seek,30,0.000016,0.000173
asylum,14,0.000007,0.000086
degree,42,0.000022,0.000235
someones,30,0.000016,0.000173
closest,47,0.000025,0.000260
ny,4,0.000002,0.000027
motor,16,0.000008,0.000098
vehicle,20,0.000010,0.000120
boob,5,0.000003,0.000034
truck,84,0.000044,0.000440
company,345,0.000180,0.001552
pal,18,0.000009,0.000109
till,68,0.000035,0.000363
knocked,71,0.000037,0.000378
stole,83,0.000043,0.000435
signs,187,0.000098,0.000901
excitement,37,0.000019,0.000210
princess,10,0.000005,0.000063
center,140,0.000073,0.000696
violent,36,0.000019,0.000204
bidding,5,0.000003,0.000034
blows,10,0.000005,0.000063
revolutionary,9,0.000005,0.000058
power,285,0.000149,0.001310
mexicos,25,0.000013,0.000147
absentee,17,0.000009,0.000103
ballots,82,0.000043,0.000430
arianna,30,0.000016,0.000173
huffingtons,3,0.000002,0.000021
domestic,53,0.000028,0.000290
fred,66,0.000034,0.000354
communicating,5,0.000003,0.000034
pathfinder,3,0.000002,0.000021
robot,40,0.000021,0.000225
afternoon,117,0.000061,0.000592
massive,51,0.000027,0.000280
flooding,15,0.000008,0.000092
mars,131,0.000068,0.000655
relief,49,0.000026,0.000270
risk,44,0.000023,0.000245
bullet,24,0.000013,0.000141
resolution,43,0.000022,0.000240
hungary,3,0.000002,0.000021
poland,20,0.000010,0.000120
czech,9,0.000005,0.000058
tiny,63,0.000033,0.000339
lander,13,0.000007,0.000081
carl,15,0.000008,0.000092
vs,22,0.000011,0.000131
lurch,3,0.000002,0.000021
bragging,25,0.000013,0.000147
january,86,0.000045,0.000449
feed,24,0.000013,0.000141
yourself,129,0.000067,0.000646
amount,45,0.000023,0.000250
calories,6,0.000003,0.000040
subpoenas,12,0.000006,0.000075
operating,17,0.000009,0.000103
huang,6,0.000003,0.000040
limited,26,0.000014,0.000152
immunity,25,0.000013,0.000147
pandas,12,0.000006,0.000075
students,173,0.000090,0.000840
demonstrating,9,0.000005,0.000058
pure,10,0.000005,0.000063
virgins,38,0.000020,0.000215
district,29,0.000015,0.000168
testified,91,0.000047,0.000473
specifically,37,0.000019,0.000210
excuse,78,0.000041,0.000411
inevitable,6,0.000003,0.000040
presidency,215,0.000112,0.001020
climate,88,0.000046,0.000459
itd,14,0.000007,0.000086
freezing,25,0.000013,0.000147
prosecutors,33,0.000017,0.000189
rape,11,0.000006,0.000069
refusing,51,0.000027,0.000280
cooperate,15,0.000008,0.000092
cleared,24,0.000013,0.000141
recreation,8,0.000004,0.000052
warm,58,0.000030,0.000315
welcome,202,0.000105,0.000965
polish,9,0.000005,0.000058
salute,29,0.000015,0.000168
killed,167,0.000087,0.000814
gesture,21,0.000011,0.000125
attempted,18,0.000009,0.000109
mike,258,0.000135,0.001200
tyson,26,0.000014,0.000152
scariest,12,0.000006,0.000075
scarier,8,0.000004,0.000052
clip,43,0.000022,0.000240
braces,4,0.000002,0.000027
ultimately,8,0.000004,0.000052
dark,54,0.000028,0.000295
vast,27,0.000014,0.000157
arts,21,0.000011,0.000125
abolish,8,0.000004,0.000052
representative,30,0.000016,0.000173
cher,22,0.000011,0.000131
listed,30,0.000016,0.000173
grown,24,0.000013,0.000141
karenna,3,0.000002,0.000021
nervewracking,3,0.000002,0.000021
photographer,10,0.000005,0.000063
minimum,49,0.000026,0.000270
wage,43,0.000022,0.000240
jodie,5,0.000003,0.000034
foster,12,0.000006,0.000075
footage,99,0.000052,0.000510
complaint,16,0.000008,0.000098
endorsing,61,0.000032,0.000329
prohibits,3,0.000002,0.000021
discriminating,5,0.000003,0.000034
genetic,11,0.000006,0.000069
ratings,149,0.000078,0.000735
thompson,77,0.000040,0.000407
conspiracy,38,0.000020,0.000215
milk,59,0.000031,0.000320
contact,264,0.000138,0.001224
manipulated,7,0.000004,0.000046
normally,48,0.000025,0.000265
appear,144,0.000075,0.000713
drivers,93,0.000049,0.000482
busted,45,0.000023,0.000250
pack,47,0.000025,0.000260
oldfashioned,16,0.000008,0.000098
dates,27,0.000014,0.000157
hearings,100,0.000052,0.000514
shady,11,0.000006,0.000069
depressed,45,0.000023,0.000250
effort,67,0.000035,0.000359
everythings,31,0.000016,0.000178
producers,34,0.000018,0.000194
precedent,8,0.000004,0.000052
organizations,12,0.000006,0.000075
nowadays,8,0.000004,0.000052
catchy,15,0.000008,0.000092
littleknown,10,0.000005,0.000063
lobby,30,0.000016,0.000173
scum,8,0.000004,0.000052
judicial,7,0.000004,0.000046
encounters,5,0.000003,0.000034
sons,96,0.000050,0.000496
protect,90,0.000047,0.000468
clintonhas,4,0.000002,0.000027
electric,61,0.000032,0.000329
blanket,12,0.000006,0.000075
pressed,11,0.000006,0.000069
homeless,48,0.000025,0.000265
rid,144,0.000075,0.000713
failed,84,0.000044,0.000440
snowballs,4,0.000002,0.000027
alaska,187,0.000098,0.000901
woolworths,5,0.000003,0.000034
marines,25,0.000013,0.000147
recruit,24,0.000013,0.000141
columnist,13,0.000007,0.000081
refer,31,0.000016,0.000178
opponent,62,0.000032,0.000334
india,171,0.000089,0.000832
lowest,62,0.000032,0.000334
battleship,3,0.000002,0.000021
sailing,8,0.000004,0.000052
sailed,3,0.000002,0.000021
waters,11,0.000006,0.000069
greta,5,0.000003,0.000034
adolph,4,0.000002,0.000027
antisemitic,14,0.000007,0.000086
briefly,14,0.000007,0.000086
marge,3,0.000002,0.000021
mishap,3,0.000002,0.000021
fireworks,29,0.000015,0.000168
alternatives,7,0.000004,0.000046
confusion,34,0.000018,0.000194
boys,82,0.000043,0.000430
smithsonian,15,0.000008,0.000092
carbon,12,0.000006,0.000075
uss,14,0.000007,0.000086
turning,100,0.000052,0.000514
sport,15,0.000008,0.000092
reaction,41,0.000021,0.000230
serial,12,0.000006,0.000075
killer,18,0.000009,0.000109
andrew,32,0.000017,0.000184
afloat,3,0.000002,0.000021
intimate,17,0.000009,0.000103
handful,11,0.000006,0.000069
cape,14,0.000007,0.000086
burns,16,0.000008,0.000098
rug,19,0.000010,0.000114
treating,18,0.000009,0.000109
powdered,9,0.000005,0.000058
cocaine,150,0.000078,0.000740
terrorists,300,0.000156,0.001371
realistic,17,0.000009,0.000103
karate,8,0.000004,0.000052
vp,15,0.000008,0.000092
representatives,54,0.000028,0.000295
cooling,7,0.000004,0.000046
blood,67,0.000035,0.000359
producer,32,0.000017,0.000184
notorious,12,0.000006,0.000075
narrowed,18,0.000009,0.000109
punishment,30,0.000016,0.000173
possession,35,0.000018,0.000199
grams,8,0.000004,0.000052
equivalent,11,0.000006,0.000069
learning,98,0.000051,0.000505
metric,5,0.000003,0.000034
regarding,31,0.000016,0.000178
suspected,35,0.000018,0.000199
spree,5,0.000003,0.000034
dressing,22,0.000011,0.000131
spot,70,0.000037,0.000373
hospitals,13,0.000007,0.000081
maggots,7,0.000004,0.000046
calendar,19,0.000010,0.000114
incident,96,0.000050,0.000496
sweet,69,0.000036,0.000368
generation,9,0.000005,0.000058
handed,49,0.000026,0.000270
hijack,7,0.000004,0.000046
harrison,17,0.000009,0.000103
convincing,22,0.000011,0.000131
voices,14,0.000007,0.000086
perots,4,0.000002,0.000027
installed,27,0.000014,0.000157
oval,289,0.000151,0.001327
plays,64,0.000033,0.000344
portrayal,5,0.000003,0.000034
sized,5,0.000003,0.000034
desperately,15,0.000008,0.000092
attendants,16,0.000008,0.000098
pitcher,11,0.000006,0.000069
hijacking,5,0.000003,0.000034
prisoner,37,0.000019,0.000210
seats,61,0.000032,0.000329
comfortably,7,0.000004,0.000046
shower,10,0.000005,0.000063
putting,203,0.000106,0.000969
forum,18,0.000009,0.000109
web,25,0.000013,0.000147
vital,10,0.000005,0.000063
information,417,0.000218,0.001834
nanny,13,0.000007,0.000081
online,108,0.000056,0.000551
yourselves,17,0.000009,0.000103
gods,57,0.000030,0.000310
cosby,7,0.000004,0.000046
honestly,82,0.000043,0.000430
mentioned,91,0.000047,0.000473
escape,34,0.000018,0.000194
pod,5,0.000003,0.000034
scholarship,8,0.000004,0.000052
oxford,6,0.000003,0.000040
hijacked,10,0.000005,0.000063
cares,57,0.000030,0.000310
wheres,62,0.000032,0.000334
bombshell,11,0.000006,0.000069
subway,52,0.000027,0.000285
coins,8,0.000004,0.000052
gates,114,0.000059,0.000579
exposing,6,0.000003,0.000040
chart,8,0.000004,0.000052
uphill,6,0.000003,0.000040
woo,38,0.000020,0.000215
proved,26,0.000014,0.000152
autumn,18,0.000009,0.000109
submitted,12,0.000006,0.000075
placed,35,0.000018,0.000199
nowhere,30,0.000016,0.000173
breaks,34,0.000018,0.000194
charlie,70,0.000037,0.000373
code,143,0.000075,0.000709
weld,8,0.000004,0.000052
patients,36,0.000019,0.000204
helms,19,0.000010,0.000114
